Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.875000,17.312500,16.343750,16.500000,15.866133,3056600
2000-01-04,16.937500,16.937500,15.406250,15.468750,14.874498,3169600
2000-01-05,15.468750,16.000000,15.312500,15.687500,15.084847,3022000
2000-01-06,15.562500,16.218750,15.437500,16.062500,15.445439,4017600
2000-01-07,15.625000,16.875000,15.625000,16.781250,16.136578,2746400
2000-01-10,16.984350,17.625000,16.812500,17.625000,16.947914,3255000
2000-01-11,17.218750,17.531250,16.468750,16.500000,15.866133,5179600
2000-01-12,16.523399,16.687500,16.250000,16.500000,15.866133,2239600
2000-01-13,16.421850,17.468750,16.406250,17.375000,16.707518,2258000
2000-01-14,17.421850,17.687500,16.843750,17.187500,16.527222,2601000
2000-01-18,16.890600,17.062500,16.562500,16.562500,15.926233,2074200
2000-01-19,16.718750,16.718750,15.937500,16.156250,15.535589,2896400
2000-01-20,16.187500,16.187500,14.812500,14.906250,14.333609,5598800
2000-01-21,14.937500,14.937500,14.000000,14.031250,13.492223,7507000
2000-01-24,14.031250,14.250000,13.250000,13.250000,12.740985,4965800
2000-01-25,13.531250,14.125000,12.937500,13.593750,13.071529,7229000
2000-01-26,13.812500,13.937500,13.250000,13.406250,12.891232,5319000
2000-01-27,13.875000,13.968750,13.531250,13.843750,13.311926,3597400
2000-01-28,13.812500,14.250000,13.656250,13.781250,13.251827,3107800
2000-01-31,13.812500,13.875000,13.375000,13.593750,13.071529,3943600
2000-02-01,13.750000,15.375000,13.625000,15.375000,14.784349,2881600
2000-02-02,15.406250,16.000000,15.187500,15.406250,14.814401,4579400
2000-02-03,15.656250,15.687500,15.312500,15.437500,14.844450,2956400
2000-02-04,15.796850,16.062500,15.500000,16.031250,15.415389,3042200
2000-02-07,16.031250,16.031250,15.187500,15.343750,14.754301,1873800
2000-02-08,15.500000,16.062500,15.375000,15.656250,15.054796,2728000
2000-02-09,15.500000,15.968750,15.343750,15.406250,14.814401,2061200
2000-02-10,15.625000,15.875000,15.437500,15.781250,15.174994,1949000
2000-02-11,15.781250,15.812500,14.812500,14.968750,14.393707,2862600
2000-02-14,14.843750,15.375000,14.656250,15.343750,14.754301,2415800
2000-02-15,15.125000,15.718750,14.781250,15.593750,14.994698,2035800
2000-02-16,15.437500,15.468750,13.750000,13.968750,13.432123,6552200
2000-02-17,14.281250,14.343750,13.812500,14.125000,13.582372,4343800
2000-02-18,14.250000,14.281250,12.500000,12.625000,12.139996,7342400
2000-02-22,12.968750,13.187500,12.468750,12.718750,12.230145,5387400
2000-02-23,12.718750,13.531250,12.562500,13.281250,12.771034,4942600
2000-02-24,13.406250,13.500000,11.218750,12.187500,11.719302,6843000
2000-02-25,12.250000,12.625000,11.843750,11.968750,11.508955,4985200
2000-02-28,11.875000,13.125000,11.812500,13.062500,12.560687,4942600
2000-02-29,13.125000,14.375000,12.937500,14.187500,13.642469,5867200
2000-03-01,14.125000,14.250000,13.250000,13.375000,12.861183,5716800
2000-03-02,13.593750,13.812500,13.468750,13.625000,13.101578,3341800
2000-03-03,13.625000,13.687500,13.062500,13.437500,12.921282,3162000
2000-03-06,13.281250,13.312500,11.687500,12.031250,11.569056,5278400
2000-03-07,12.312500,12.375000,11.000000,11.531250,11.088264,4972600
2000-03-08,11.546850,11.937500,11.375000,11.812500,11.358709,4421400
2000-03-09,11.781250,12.046850,11.500000,12.031250,11.569056,7286200
2000-03-10,11.937500,12.000000,11.718750,11.812500,11.358709,2788400
2000-03-13,11.687500,11.687500,11.250000,11.375000,10.938017,3670200
2000-03-14,11.500000,11.750000,11.375000,11.406250,10.968063,3709000
2000-03-15,11.500000,13.468750,11.468750,13.468750,12.951331,7987200
2000-03-16,13.500000,15.625000,13.375000,15.593750,14.994698,14014800
2000-03-17,15.335900,16.000000,14.968750,15.968750,15.355292,11677200
2000-03-20,15.687500,16.125000,15.500000,15.531250,14.934599,8672800
2000-03-21,15.585900,16.312500,15.281250,16.156250,15.535589,3572600
2000-03-22,16.312500,16.312500,14.781250,14.906250,14.333609,4612800
2000-03-23,14.562500,14.968750,14.437500,14.718750,14.153313,3157000
2000-03-24,14.812500,15.000000,14.187500,14.687500,14.123261,2937800
2000-03-27,14.843750,15.656250,14.468750,15.218750,14.634104,4751000
2000-03-28,15.218750,16.187500,15.156250,15.875000,15.265142,2746800
2000-03-29,15.875000,16.906250,15.843750,16.750000,16.106531,3529400
2000-03-30,17.062500,22.750000,17.062500,21.812500,20.974546,38071600
2000-03-31,20.750000,20.875000,19.500000,19.687500,18.931179,26784200
2000-04-03,19.625000,20.062500,18.937500,19.812500,19.051380,6127800
2000-04-04,19.937500,20.625000,18.187500,20.343750,19.562220,6592000
2000-04-05,19.812500,20.531250,19.500000,20.406250,19.622320,2803000
2000-04-06,20.187500,21.062500,19.000000,20.750000,19.952864,5675200
2000-04-07,20.812500,20.968750,19.312500,20.750000,19.952864,3267600
2000-04-10,20.437500,20.562500,19.000000,19.062500,18.330191,2856400
2000-04-11,19.000000,20.562500,18.625000,20.281250,19.502121,3315800
2000-04-12,20.031250,22.000000,19.968750,21.218750,20.403605,5043400
2000-04-13,21.000000,21.304649,19.750000,20.164049,19.389421,2698400
2000-04-14,19.750000,20.187500,17.500000,17.781250,17.098162,4875000
2000-04-17,17.500000,19.625000,17.500000,19.343750,18.600636,7055600
2000-04-18,19.156250,19.625000,18.500000,19.468750,18.720837,3103800
2000-04-19,19.312500,19.375000,18.281250,18.718750,17.999645,2823800
2000-04-20,18.937500,19.750000,18.718750,19.531250,18.780933,2401800
2000-04-24,19.468750,19.843750,19.187500,19.625000,18.871078,2191200
2000-04-25,19.843750,20.718750,19.687500,20.718750,19.922813,3368800
2000-04-26,20.718750,20.718750,19.750000,19.812500,19.051380,2819000
2000-04-27,19.625000,19.625000,18.468750,18.468750,17.759251,3279000
2000-04-28,18.562500,18.562500,17.687500,18.343750,17.639053,3730800
2000-05-01,18.281250,18.312500,17.718750,17.843750,17.158262,3546400
2000-05-02,17.875000,18.250000,17.500000,17.843750,17.158262,4127600
2000-05-03,17.562500,17.687500,16.031250,16.781250,16.136578,9467200
2000-05-04,16.656250,17.812500,16.375000,17.656250,16.977964,2895800
2000-05-05,17.000000,18.062500,16.937500,17.656250,16.977964,1946800
2000-05-08,17.468750,17.812500,16.687500,16.812500,16.166626,1996800
2000-05-09,16.992149,17.718750,16.437500,17.718750,17.038061,1444200
2000-05-10,17.468750,19.625000,17.437500,18.812500,18.089796,5766600
2000-05-11,19.054649,20.062500,18.687500,19.968750,19.201624,3153400
2000-05-12,19.937500,19.937500,18.531250,19.468750,18.720837,1950400
2000-05-15,19.312500,20.250000,18.625000,20.218750,19.442022,2375000
2000-05-16,20.562500,20.875000,19.250000,19.687500,18.931179,2412800
2000-05-17,19.468750,19.500000,18.375000,18.656250,17.939547,1584400
2000-05-18,18.718750,19.125000,18.312500,18.312500,17.609003,1528800
2000-05-19,18.125000,18.500000,17.500000,18.000000,17.308508,1443000
2000-05-22,17.843750,18.750000,17.250000,18.718750,17.999645,1478800
2000-05-23,18.843750,19.000000,18.125000,18.125000,17.428709,1372600
2000-05-24,18.062500,18.062500,15.968750,16.875000,16.226725,3829000
2000-05-25,17.000000,17.750000,16.750000,16.937500,16.286825,1835400
2000-05-26,17.125000,18.250000,16.843750,16.937500,16.286825,2281800
2000-05-30,17.250000,18.312500,17.062500,17.718750,17.038061,1994800
2000-05-31,18.000000,18.812500,17.875000,18.406250,17.699150,2829800
2000-06-01,18.281250,18.718750,17.875000,18.562500,17.849400,2312800
2000-06-02,18.750000,20.046850,18.687500,20.031250,19.261724,2077000
2000-06-05,19.906250,20.000000,18.750000,18.843750,18.119843,1322200
2000-06-06,18.718750,18.781250,17.437500,17.781250,17.098162,2981400
2000-06-07,17.859350,17.875000,16.937500,17.250000,16.587322,3937600
2000-06-08,17.359350,17.406250,16.437500,16.531250,15.896181,2957000
2000-06-09,17.062500,17.187500,16.812500,17.000000,16.346926,1370600
2000-06-12,17.000000,17.031250,15.812500,16.375000,15.745934,2303800
2000-06-13,15.968750,17.281250,15.937500,17.281250,16.617373,2562000
2000-06-14,17.375000,17.500000,16.500000,16.625000,15.986333,2125600
2000-06-15,16.750000,17.500000,16.500000,17.375000,16.707518,2416000
2000-06-16,18.312500,18.343750,17.500000,17.843750,17.158262,2987000
2000-06-19,17.375000,17.625000,16.875000,17.000000,16.346926,2008200
2000-06-20,17.062500,17.500000,16.593750,17.468750,16.797665,2419400
2000-06-21,17.468750,18.250000,17.437500,17.843750,17.158262,5057000
2000-06-22,16.718750,17.187500,16.281250,16.406250,15.775982,5422400
2000-06-23,16.531250,16.687500,16.250000,16.468750,15.836082,1948600
2000-06-26,16.468750,17.062500,16.406250,16.500000,15.866133,3477200
2000-06-27,16.531250,17.843750,16.281250,17.687500,17.008013,5120600
2000-06-28,17.890600,18.187500,17.531250,17.937500,17.248409,2621800
2000-06-29,17.906250,17.906250,17.000000,17.031250,16.376974,2913400
2000-06-30,17.125000,18.500000,17.125000,18.125000,17.428709,2541600
2000-07-03,18.156250,18.156250,17.625000,17.812500,17.128208,897200
2000-07-05,17.992149,18.031250,17.000000,17.093750,16.437073,1056400
2000-07-06,17.125000,18.687500,17.062500,18.312500,17.609003,3213200
2000-07-07,18.468750,19.687500,18.375000,19.500000,18.750885,4321400
2000-07-10,19.250000,20.437500,19.250000,20.031250,19.261724,3146800
2000-07-11,20.000000,20.468750,19.375000,19.625000,18.871078,2437400
2000-07-12,19.750000,20.687500,19.562500,20.187500,19.411972,6534800
2000-07-13,19.671850,20.000000,19.406250,19.781250,19.021330,1784200
2000-07-14,20.171850,20.250000,19.750000,19.843750,19.081429,1557800
2000-07-17,19.906250,19.906250,19.156250,19.156250,18.420341,1177800
2000-07-18,19.171850,19.875000,19.000000,19.718750,18.961231,1907200
2000-07-19,19.843750,19.875000,19.375000,19.468750,18.720837,1176200
2000-07-20,19.562500,19.937500,19.500000,19.812500,19.051380,1286400
2000-07-21,19.765600,20.031250,19.312500,19.843750,19.081429,2031200
2000-07-24,19.906250,19.921850,18.437500,18.500000,17.789299,2324600
2000-07-25,18.500000,18.812500,18.187500,18.687500,17.969595,1319400
2000-07-26,18.531250,19.437500,18.281250,18.906250,18.179943,2147400
2000-07-27,19.000000,19.750000,18.984350,19.437500,18.690786,1838600
2000-07-28,19.328100,19.343750,18.281250,18.312500,17.609003,2532800
2000-07-31,18.343750,18.531250,17.687500,18.406250,17.699150,1802400
2000-08-01,18.390600,18.406250,17.562500,17.718750,17.038061,1572400
2000-08-02,17.968750,18.375000,17.718750,17.875000,17.188311,1331000
2000-08-03,17.875000,18.437500,17.500000,18.187500,17.488804,2438000
2000-08-04,18.375000,18.531250,17.906250,18.312500,17.609003,1456200
2000-08-07,18.312500,19.468750,18.250000,19.343750,18.600636,1978400
2000-08-08,19.312500,19.812500,19.125000,19.718750,18.961231,2869400
2000-08-09,19.718750,19.750000,18.937500,19.281250,18.540535,1283800
2000-08-10,19.281250,19.312500,18.062500,18.125000,17.428709,2434800
2000-08-11,18.218750,19.187500,18.218750,18.906250,18.179943,1824000
2000-08-14,19.125000,19.125000,18.500000,19.062500,18.330191,1642900
2000-08-15,19.125000,19.187500,18.500000,18.562500,17.849400,2099200
