Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,57.709999,57.709999,55.535000,55.752499,22.931862,304500
2000-01-04,55.462502,55.535000,54.375000,54.447498,22.395096,383000
2000-01-05,55.172501,56.622501,55.172501,56.332500,23.170424,374700
2000-01-06,56.259998,57.130001,56.115002,57.130001,23.498447,375600
2000-01-07,58.435001,59.232498,58.362499,58.724998,24.154503,192200
2000-01-10,57.709999,59.305000,57.709999,59.232498,24.363241,320600
2000-01-11,57.564999,58.580002,57.275002,57.927502,23.826471,401900
2000-01-12,58.724998,58.724998,57.782501,58.145000,23.915939,98700
2000-01-13,57.564999,58.000000,56.985001,57.709999,23.737015,283000
2000-01-14,57.709999,57.709999,56.259998,57.057499,23.468626,187900
2000-01-18,55.244999,56.404999,54.882500,56.404999,23.200245,218900
2000-01-19,56.187500,56.840000,55.970001,56.187500,23.110783,153800
2000-01-20,55.970001,55.970001,54.592499,54.737499,22.514376,63300
2000-01-21,54.665001,55.462502,54.520000,55.099998,22.663479,433100
2000-01-24,55.897499,56.259998,54.084999,54.592499,22.454742,211300
2000-01-25,54.592499,55.244999,53.432499,54.084999,22.245989,211600
2000-01-26,53.722500,53.939999,52.997501,53.142502,21.858334,133600
2000-01-27,53.287498,53.287498,51.040001,51.040001,20.993540,189600
2000-01-28,50.750000,50.895000,50.169998,50.314999,20.695326,399600
2000-01-31,50.025002,51.185001,49.735001,50.895000,20.933905,355500
2000-02-01,50.822498,51.474998,50.750000,51.185001,21.053186,225000
2000-02-02,51.474998,51.837502,51.040001,51.402500,21.142647,313800
2000-02-03,49.662498,50.169998,49.227501,50.025002,20.576056,423300
2000-02-04,48.720001,48.865002,46.834999,47.632500,19.591984,523100
2000-02-07,48.937500,49.009998,48.067501,48.575001,19.979645,238300
2000-02-08,50.025002,50.459999,48.720001,49.009998,20.158567,145300
2000-02-09,48.430000,48.430000,46.544998,46.907501,19.293770,380400
2000-02-10,48.357498,50.750000,48.357498,50.750000,20.874250,471300
2000-02-11,51.982498,52.200001,49.227501,49.662498,20.426941,335200
2000-02-14,49.807499,50.822498,49.517502,50.459999,20.754974,248700
2000-02-15,50.677502,52.055000,50.025002,51.982498,21.381201,213100
2000-02-16,51.982498,53.722500,51.982498,53.505001,22.007425,345300
2000-02-17,54.375000,54.810001,52.924999,53.505001,22.007425,161600
2000-02-18,52.779999,52.779999,50.532501,50.677502,20.844437,107600
2000-02-22,49.880001,50.677502,49.372501,50.314999,20.695326,351300
2000-02-23,48.430000,48.430000,47.197498,47.994999,19.741081,226500
2000-02-24,47.125000,47.197498,45.965000,46.400002,19.085037,230600
2000-02-25,47.052502,47.777500,46.400002,46.907501,19.293770,275000
2000-02-28,45.965000,48.139999,45.965000,47.922501,19.711262,166700
2000-02-29,47.777500,48.502499,47.705002,48.212502,19.830553,258000
2000-03-01,47.922501,49.299999,46.762501,49.299999,20.277847,547100
2000-03-02,49.227501,50.387501,48.865002,50.169998,20.635696,570200
2000-03-03,50.314999,50.822498,49.590000,50.242500,20.665508,372400
2000-03-06,49.009998,49.880001,48.720001,49.154999,20.218208,268200
2000-03-07,49.880001,52.345001,49.880001,51.764999,21.291744,184000
2000-03-08,53.070000,55.680000,52.634998,52.924999,21.768871,653400
2000-03-09,52.707500,53.650002,52.055000,53.650002,22.067076,230200
2000-03-10,53.577499,54.520000,52.562500,52.779999,21.709229,366500
2000-03-13,51.619999,52.634998,51.330002,51.982498,21.381201,177900
2000-03-14,51.185001,52.562500,50.967499,52.055000,21.411022,213700
2000-03-15,52.490002,54.302502,52.417500,54.302502,22.335457,626200
2000-03-16,54.302502,57.202499,54.302502,57.130001,23.498447,219600
2000-03-17,56.115002,56.115002,53.939999,53.939999,22.186356,298100
2000-03-20,54.520000,54.592499,53.360001,53.867500,22.156527,203400
2000-03-21,54.810001,56.622501,54.665001,56.622501,23.289707,440200
2000-03-22,55.535000,55.535000,54.230000,54.520000,22.424915,249400
2000-03-23,54.230000,55.244999,53.360001,54.737499,22.514376,340900
2000-03-24,54.302502,54.302502,52.852501,53.142502,21.858334,514800
2000-03-27,52.924999,53.215000,52.055000,52.490002,21.589949,156500
2000-03-28,52.200001,52.924999,52.200001,52.634998,21.649586,209500
2000-03-29,52.490002,55.027500,52.490002,54.592499,22.454742,204200
2000-03-30,54.520000,55.825001,54.520000,55.317501,22.752941,181400
2000-03-31,56.985001,57.564999,56.549999,56.912498,23.408995,747000
2000-04-03,56.259998,56.840000,55.752499,56.695000,23.319529,209200
2000-04-04,56.404999,56.985001,55.317501,55.970001,23.021322,405500
2000-04-05,55.389999,55.680000,54.520000,54.520000,22.424915,269300
2000-04-06,54.520000,55.752499,54.447498,55.462502,22.812588,240300
2000-04-07,54.810001,55.244999,54.230000,54.375000,22.365276,106800
2000-04-10,54.230000,54.955002,53.650002,53.794998,22.126717,257200
2000-04-11,54.955002,55.897499,54.955002,55.099998,22.663479,209700
